Cycle, ARC, Entity Type, Entity Uid, Project Code, State, State Age (days), Days over limit, Protrack Link, SB Name(s)
2012.1, EA, SB, uid://A002/X758152/X4a, 2012.1.00759.S, Suspended, 308, 248, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X758152/X4a, VV219_D1_Science_TP
2012.1, EA, SB, uid://A002/X758152/X49, 2012.1.00759.S, Suspended, 308, 248, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X758152/X49, query_AmpCal_D1_TP
2012.1, EA, SB, uid://A002/X758152/X4e, 2012.1.00759.S, Suspended, 308, 248, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X758152/X4e, VV219_D2_Science_TP
2012.1, EA, SB, uid://A002/X758152/X4d, 2012.1.00759.S, Suspended, 308, 248, https://asa.alma.cl/protrack/?schedBlockUid=uid://A002/X758152/X4d, query_AmpCal_D2_TP
2012.1, EU, MOUS, uid://A002/X5eed86/Xd3, 2012.1.01029.S, Ready, 748, 18, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5eed86/Xd3, Eyelash_B9_extended
2012.1, EU, MOUS, uid://A002/X5eed86/Xdf, 2012.1.01029.S, Ready, 748, 18, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5eed86/Xdf, Eyelash_B7_extended
2012.1, EU, MOUS, uid://A002/X6444ba/Xc9, 2012.1.01011.S, PartiallyObserved, 208, 28, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6444ba/Xc9, Oph_B-11_a_03_12
2012.1, EU, MOUS, uid://A002/X5d7935/X3cd, 2012.1.00979.S, Ready, 759, 29, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5d7935/X3cd, Multi-source_CII
2012.1, EU, MOUS, uid://A002/X6dddc4/X70, 2012.1.00352.S, PartiallyObserved, 231, 51, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6dddc4/X70, Do_not_run_Orion_Ba_a_07_TP
2012.1, EU, MOUS, uid://A002/X7fb989/X99, 2012.1.00978.S, PartiallyObserved, 243, 63, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X7fb989/X99, GISMO-AK03-B7-12m
2012.1, EU, MOUS, uid://A002/X7fb989/X95, 2012.1.00978.S, PartiallyObserved, 243, 63, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X7fb989/X95, J1000+0234
2012.1, EU, MOUS, uid://A002/X5a9a13/X537, 2012.1.00882.S, PartiallyObserved, 243, 63, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5a9a13/X537, ULAS_J1120+0641
2012.1, EU, MOUS, uid://A002/X7f285c/X5, 2012.1.00784.S, PartiallyObserved, 251, 71, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X7f285c/X5, W33A_12m_B7_repeat_x2
2012.1, EU, MOUS, uid://A001/X13b/X2f, 2012.1.00175.S, PartiallyObserved, 251, 71, https://asa.alma.cl/protrack/?ousStatusUid=uid://A001/X13b/X2f, Eyelash_12m_B7_repeat_x2_a
2012.1, EU, MOUS, uid://A002/X684eb5/X283, 2012.1.00097.S, PartiallyObserved, 251, 71, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X684eb5/X283, R_Scl_b_07_12
2012.1, EU, MOUS, uid://A002/X7f285c/X9, 2012.1.00784.S, PartiallyObserved, 252, 72, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X7f285c/X9, W33A_12m_B6_repeat_x2
2012.1, EU, MOUS, uid://A002/X7d1738/X150, 2012.1.00306.S, PartiallyObserved, 255, 75, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X7d1738/X150, IRASF20551_B3_12m
2012.1, EU, MOUS, uid://A001/X144/X23, 2012.1.00352.S, FullyObserved, 103, 75, https://asa.alma.cl/protrack/?ousStatusUid=uid://A001/X144/X23, Uranus_a_07_TP
2012.1, EU, MOUS, uid://A002/X7d1738/X176, 2012.1.00327.S, PartiallyObserved, 257, 77, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X7d1738/X176, Alpha_Ori_12m_B9_repeat_x4
2012.1, EU, MOUS, uid://A002/X6444ba/X10a, 2012.1.00366.S, PartiallyObserved, 258, 78, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6444ba/X10a, Multi-source_16061
2012.1, EU, MOUS, uid://A002/X5a9a13/X566, 2012.1.00143.S, ObservingTimedOut, 141, 81, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5a9a13/X566, C2011_L4_B7
2012.1, EU, MOUS, uid://A002/X5a9a13/X56a, 2012.1.00143.S, ObservingTimedOut, 141, 81, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5a9a13/X56a, C2011_L4_B6
2012.1, EU, MOUS, uid://A002/X5a9a13/X56e, 2012.1.00143.S, ObservingTimedOut, 141, 81, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5a9a13/X56e, Do not use
2012.1, EU, MOUS, uid://A002/X5a9a13/X572, 2012.1.00143.S, ObservingTimedOut, 141, 81, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5a9a13/X572, Do not use
2012.1, EU, MOUS, uid://A002/X6dddc4/X6e, 2012.1.00352.S, PartiallyObserved, 263, 83, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6dddc4/X6e, Do_not_run_query_a_07_TP
2012.1, EU, MOUS, uid://A001/X148/Xc1, 2012.1.00097.S, FullyObserved, 114, 86, https://asa.alma.cl/protrack/?ousStatusUid=uid://A001/X148/Xc1, R_Scl_a_07_TP
2012.1, EU, MOUS, uid://A001/X148/Xbf, 2012.1.00097.S, FullyObserved, 114, 86, https://asa.alma.cl/protrack/?ousStatusUid=uid://A001/X148/Xbf, Uranus_a_07_TP
2012.1, EU, MOUS, uid://A001/X144/X21, 2012.1.00352.S, FullyObserved, 115, 87, https://asa.alma.cl/protrack/?ousStatusUid=uid://A001/X144/X21, Orion_Ba_b_07_TP
2012.1, EU, MOUS, uid://A002/X5a9a13/X7e0, 2012.1.00173.S, PartiallyObserved, 283, 103, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5a9a13/X7e0, HUDF
2012.1, EU, MOUS, uid://A002/X6b0cc1/X7a, 2012.1.00453.S, PartiallyObserved, 284, 104, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6b0cc1/X7a, Arp220_B6_up_2
2012.1, EU, MOUS, uid://A002/X7c8e5d/X1b, 2012.1.01011.S, PartiallyObserved, 321, 141, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X7c8e5d/X1b, DO_NOT_RUN_12m
2012.1, EU, MOUS, uid://A002/X7c8e5d/X1d, 2012.1.01011.S, PartiallyObserved, 322, 142, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X7c8e5d/X1d, DO_NOT_RUN_7m
2012.1, EU, MOUS, uid://A002/X5d7935/X217, 2012.1.00900.S, PartiallyObserved, 335, 155, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5d7935/X217, NGC1377_b9
2012.1, EU, MOUS, uid://A002/X609170/X1c, 2012.1.00885.S, PartiallyObserved, 340, 160, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X609170/X1c, ClJ1448+0856_B3
2012.1, EU, MOUS, uid://A002/X684eb5/X20e, 2012.1.00543.S, PartiallyObserved, 397, 217, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X684eb5/X20e, SgrAstar_12m
2012.1, EU, MOUS, uid://A002/X6444ba/Xbf, 2012.1.01011.S, PartiallyObserved, 411, 231, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6444ba/Xbf, do_not_run_07_TP;  query_a_07_TP
